"site_no","dateTime","Flow_Inst","Flow_Inst_cd","Wtemp_Inst","pH_Inst","DO_Inst"
"02336313",2011-05-24 09:45:00,0.93,"A",21,7.1,5.7
"02336410",2011-05-27 01:45:00,147,"A",22.8,6.9,6.4
"02336410",2011-05-26 19:00:00,10,"A",24.8,7.5,8.2
"02203700",2011-05-13 22:00:00,4.4,"E",24.5,7.3,10.2
"02336120",2011-05-18 12:30:00,13,"E",14,7.2,8.8
"02336300",2011-05-12 19:30:00,27,"A",26,7.5,8.9
"02336120",2011-05-31 13:30:00,12,"A",23.3,7,6.9
"02336120",2011-05-22 17:45:00,11,"A e",22.2,7.3,8.1
"02336120",2011-05-21 18:30:00,12,"A",21.3,7.4,8.5
"02336526",2011-05-16 05:00:00,3.8,"A",17.7,7.5,NA
"02336120",2011-05-23 15:00:00,11,"A",21.7,7.2,7.5
"02336410",2011-05-06 15:45:00,25,"A e",15.6,7,9.1
"02336120",2011-05-17 21:45:00,14,"A",16.6,7.3,9.3
"02336313",2011-05-14 04:00:00,0.93,"A",22.2,7.2,6.6
"02336300",2011-05-18 14:00:00,27,"A",14.3,7.5,8.9
"02336360",2011-05-02 17:15:00,14,"A",20.6,7.2,8.8
"02336313",2011-05-05 18:45:00,1.3,"E",18,7,9.2
"02336526",2011-05-11 21:45:00,3.8,"A",26,8.2,10.6
"02336360",2011-05-14 05:45:00,11,"A",21.9,7.1,6.9
"02337170",2011-05-23 08:15:00,1410,"A e",19.9,6.8,8.3
"02336410",2011-05-18 01:30:00,16,"X",15.7,7.3,9.2
"02203655",2011-05-21 10:45:00,8.2,"X",18.8,7,6.9
"02203655",2011-05-19 18:00:00,9.2,"A e",16.9,7.1,9.3
"02336410",2011-05-31 05:00:00,13,"E",24.7,7,6.4
"02203655",2011-05-17 05:15:00,10,"A",16.8,7.1,8.1
"02203700",2011-05-13 22:30:00,4.4,"A",24.2,7.2,9.5
"02336526",2011-05-17 07:30:00,4.2,"A",16.3,7.3,7.7
"02336313",2011-05-05 08:15:00,1.3,"A e",14.2,6.9,7.7
"02336240",2011-05-29 00:15:00,18,"X",23,7,7
"02203700",2011-05-21 09:45:00,4.6,"A",18.3,6.8,5.3
"02336410",2011-05-26 18:15:00,11,"A",24.3,7.4,8.5
"02336313",2011-05-23 17:00:00,0.98,"A",23.7,7.2,8.8
"02336300",2011-05-09 21:30:00,31,"A",23.9,7.3,8.6
"02336728",2011-05-25 03:30:00,8.6,"A",23,7.1,7.1
"02336360",2011-05-07 17:15:00,14,"X",17.6,NA,9
"02336728",2011-05-15 03:15:00,12,"A",20.5,7.2,7.6
"02336526",2011-05-28 02:30:00,17,"A e",22.4,6.9,7.2
"02203655",2011-05-28 18:00:00,18,"A",21.2,NA,7.3
"02336240",2011-05-14 04:00:00,10,"A",21.8,7.2,6.9
"02336410",2011-05-06 00:45:00,28,"A",17.5,7,8.4
"02336728",2011-05-31 02:00:00,14,"A",24.7,7,7.2
"02336313",2011-05-05 13:30:00,1.4,"A",13.4,7,8.9
"02336120",2011-05-05 16:00:00,24,"E",15.2,7,9
"02336300",2011-05-12 22:15:00,28,"X",26.3,NA,8.4
"02336313",2011-05-06 00:30:00,1.2,"A",17.9,7,7.9
"02336410",2011-05-08 20:30:00,21,"E",20.2,7.2,8.8
"02336240",2011-05-07 05:45:00,13,"A e",16,7.2,8.3
"02203700",2011-05-15 09:15:00,NA,"A",18.7,6.9,4.8
"02336120",2011-05-27 19:45:00,105,"A",NA,6.5,7.2
"02336360",2011-05-01 08:30:00,14,"A",18.5,7,7.5
"02336526",2011-05-05 16:15:00,5.7,"A",14.9,7,9.8
"02336526",2011-05-24 22:45:00,3.3,"A e",25.4,NA,11.9
"02336360",2011-05-31 06:45:00,6.3,"A",24.3,NA,6.5
"02203655",2011-05-23 09:30:00,7.2,"A",21.5,6.9,5.9
"02336240",2011-05-27 15:00:00,312,"A e",19.9,6.7,8.3
"02336300",2011-05-16 18:30:00,27,"A",17.6,7.6,9
"02336120",2011-05-04 09:45:00,191,"A",17,6.4,8.1
"02203700",2011-05-12 12:45:00,4.6,"A",20.3,6.9,5.2
"02336240",2011-05-28 14:45:00,22,"E",20.7,7,7.6
"02337170",2011-05-30 23:15:00,1270,"X",25.6,6.9,7.5
"02336728",2011-05-15 19:30:00,11,"A e",19.5,NA,8.9
"02336526",2011-05-21 14:15:00,3.6,"A",19,7.6,8.2
"02336410",2011-05-23 16:00:00,13,"A",22.3,7.3,8.1
"02336120",2011-05-25 17:00:00,11,"E",22.8,7.2,7.8
"02336300",2011-05-09 10:15:00,31,"A",18.9,7.3,7.4
"02336360",2011-05-16 18:00:00,10,"A e",17.8,7.3,9.8
"02336526",2011-05-06 19:45:00,5.2,"X",19.3,7.4,10.6
"02336300",2011-05-07 21:45:00,35,"X",20.4,7.2,8.4
"02337170",2011-05-06 19:30:00,7840,"A",12.2,6.8,10.6
"02336526",2011-05-20 10:15:00,3.5,"A e",17.4,7.6,7.4
"02336300",2011-05-24 17:30:00,21,"A",24.6,7.5,8.5
"02336410",2011-05-28 05:15:00,41,"X",22.5,6.9,6.8
"02336728",2011-05-29 17:00:00,20,"A",23.3,7,7.8
"02336410",2011-05-20 14:30:00,14,"E",17.4,7.2,8.6
"02336240",2011-05-29 23:45:00,13,"A",24.6,7,6.9
"02336410",2011-05-07 02:15:00,24,"E",17.8,7,8.3
"02203700",2011-05-09 12:30:00,4.9,"X",17.9,NA,5.5
"02337170",2011-05-12 16:00:00,5910,"A",15.4,6.8,NA
"02336526",2011-05-15 23:45:00,3.8,"A",18.6,8,10.3
"02336240",2011-05-21 09:00:00,9.2,"X",18.5,7.2,7.6
"02336240",2011-05-13 01:45:00,10,"A",23.4,7.1,6.8
"02336410",2011-05-25 23:15:00,11,"X",25.3,7.4,7.8
"02336410",2011-05-25 00:00:00,11,"E",24.6,7.3,7.5
"02336313",2011-05-12 00:30:00,0.93,"A e",24.6,7.2,6.5
"02337170",2011-05-27 04:15:00,1780,"A",20.7,7,8.4
"02336300",2011-05-12 23:15:00,27,"A",25.8,7.5,7.9
"02337170",2011-05-28 01:30:00,NA,"X",20.6,6.5,7.1
"02336728",2011-05-03 18:15:00,16,"A e",22.9,7.2,8.5
"02336300",2011-05-20 16:30:00,24,"E",19.5,7.6,9
"02336120",2011-05-12 16:15:00,14,"A",22.3,7.2,8.1
"02336728",2011-05-31 00:45:00,14,"A",25.3,7,7.2
"02336300",2011-05-24 10:00:00,21,"A",22.2,7.3,6.5
"02336410",2011-05-11 05:30:00,19,"E",22.7,7.1,6.8
"02336240",2011-05-13 08:45:00,9.9,"A e",21.2,7.1,7
"02337170",2011-05-08 02:15:00,2430,"X",15.4,6.8,9.5
"02336313",2011-05-07 01:15:00,1.1,"E",18.4,7.2,7.7
"02336300",2011-05-01 23:30:00,32,"A e",21.9,7.3,7.8
"02203700",2011-05-21 22:30:00,3.9,"X",24.8,6.9,7.4
"02336410",2011-05-21 01:15:00,14,"A",20.7,7.3,8.2
"02336313",2011-05-01 14:30:00,1.1,"A",18.3,7.1,7.9
"02336120",2011-05-03 21:30:00,17,"A",21.9,7.1,8.1
"02336120",2011-05-16 08:00:00,13,"A e",17.2,7.2,8.1
"02336120",2011-05-24 10:00:00,10,"A",21.8,7.1,6.9
"02336360",2011-05-27 20:00:00,27,"A e",23.4,6.8,7.3
"02336313",2011-05-09 07:30:00,1,"A",18.8,7.2,6.9
"02336360",2011-05-06 01:00:00,15,"X",17.5,7.1,8.2
