"site_no","dateTime","Flow","Flow_cd","Wtemp","pH","DO","Wtemp_F"
"02336300","2011-05-18 02:30:00",27,"A",15.7,7.6,8.4,60.26
"02336120","2011-05-28 01:15:00",58,"A",22.5,6.6,7,72.5
"02336360","2011-05-13 03:15:00",11,"A e",NA,7,6.9,NA
"02336240","2011-05-13 03:15:00",10,"A",22.8,7.1,6.8,73.04
"02337170","2011-05-29 07:45:00",2000,"A e",21.5,6.8,7.4,70.7
"02337170","2011-05-08 12:00:00",1580,"A",15.4,6.9,9.2,59.72
"02203655","2011-05-24 08:00:00",7.5,"A",22.1,6.9,5.8,71.78
"02336526","2011-05-27 08:45:00",2650,"A",19.4,6.4,8.5,66.92
"02336410","2011-05-11 19:15:00",17,"A e",24.8,7.3,8.4,76.64
"02203655","2011-05-20 04:45:00",8.5,"A",18.4,7,7.7,65.12
"02336300","2011-05-16 23:30:00",29,"A e",18.2,7.6,8.6,64.76
"02336526","2011-05-30 16:45:00",5,"A e",24.2,7.4,8.6,75.56
"02336240","2011-05-05 08:15:00",18,"A",15.1,7.1,8.4,59.18
"02336526","2011-05-03 16:00:00",4.2,"A e",20.7,7.1,8.6,69.26
"02203700","2011-05-01 19:15:00",6.1,"A",23.5,7.2,11.2,74.3
"02336313","2011-05-12 08:00:00",1,"A e",21.5,7.2,6.2,70.7
"02203655","2011-05-30 09:15:00",10,"A",23.1,6.8,6.3,73.58
"02336728","2011-05-23 21:30:00",9.3,"A e",25.3,7.3,8.5,77.54
"02203655","2011-05-17 07:00:00",10,"A e",16.5,7.1,8.2,61.7
"02336526","2011-05-14 03:15:00",3.5,"A e",23,8,7.2,73.4
"02337170","2011-05-18 19:00:00",3830,"A",13.6,6.9,9.9,56.48
"02203700","2011-05-08 05:00:00",5.1,"A",18.2,7.1,4.3,64.76
"02336728","2011-05-05 01:30:00",31,"A e",17.4,6.9,8.3,63.32
"02336313","2011-05-13 21:45:00",1,"A e",24.3,7.3,8.2,75.74
"02336240","2011-05-22 01:00:00",8.9,"A e",22.1,7.2,7.3,71.78
"02337170","2011-05-10 06:00:00",1350,"A",21.2,6.9,7.8,70.16
"02336120","2011-05-19 11:15:00",12,"A",14.9,7.2,8.6,58.82
"02336526","2011-05-14 19:45:00",3.6,"A e",23.3,7.8,11.1,73.94
"02337170","2011-05-07 15:45:00",4520,"A",13.8,6.8,9.8,56.84
"02337170","2011-05-28 00:45:00",5540,"A",20.5,6.5,7,68.9
"02336360","2011-05-03 23:00:00",25,"A",20.6,7,7.8,69.08
"02336120","2011-05-15 08:15:00",13,"A",19.6,7.2,7.4,67.28
"02336300","2011-05-07 01:30:00",36,"A",17.8,7.3,8,64.04
"02203655","2011-05-22 08:15:00",7.5,"A",20.9,7,6.5,69.62
"02203655","2011-05-02 11:15:00",11,"A e",18.9,7.1,6.7,66.02
"02336526","2011-05-05 13:00:00",5.7,"A e",13.2,6.9,8.8,55.76
"02336240","2011-05-02 12:00:00",13,"A e",18.6,7.2,7.7,65.48
"02203700","2011-05-26 14:00:00",3.5,"A",21.8,6.9,6,71.24
"02336410","2011-05-19 10:30:00",16,"A",14.9,7.2,8.9,58.82
"02203700","2011-05-07 14:30:00",5.3,"A",16,7.2,8,60.8
"02203655","2011-05-25 22:15:00",7.5,"A",23.4,7,6.3,74.12
"02203700","2011-05-08 02:00:00",5.1,"A e",19.8,7.1,4,67.64
"02336728","2011-05-18 03:00:00",11,"A e",15.3,NA,8.9,59.54
"02336410","2011-05-02 19:00:00",21,"A",22,6.8,8.5,71.6
